point_id,latitude,longitude,elevation,resolution
0,37.5144,127.0206,29.17764091491699,19.08790397644043
1,37.51394444444445,127.02074444444445,31.63291168212891,19.08790397644043
2,37.513488888888894,127.02088888888889,34.84098815917969,19.08790397644043
3,37.51303333333333,127.02103333333334,34.11621856689453,19.08790397644043
4,37.51257777777778,127.02117777777778,31.14927864074707,19.08790397644043
5,37.512122222222224,127.02132222222222,28.86844253540039,19.08790397644043
6,37.51166666666667,127.02146666666667,26.26327133178711,19.08790397644043
7,37.51121111111111,127.02161111111111,24.60370063781738,19.08790397644043
8,37.510755555555555,127.02175555555556,22.7159595489502,19.08790397644043
9,37.5103,127.0219,20.34059524536133,19.08790397644043
